,pc1_share
2023-03-28,0.9228183711512358
2023-03-29,0.9228170127211804
2023-03-30,0.9228161589624327
2023-03-31,0.9228154302566322
2023-04-03,0.9228187633033015
2023-04-04,0.922818300770374
2023-04-05,0.9228161979551927
2023-04-06,0.9228152038727809
2023-04-10,0.9228144553946429
2023-04-11,0.9228138469963482
2023-04-12,0.9228130831755674
2023-04-13,0.92281143448207
2023-04-14,0.9228102444424027
2023-04-17,0.922808702609011
2023-04-18,0.9228078429189547
2023-04-19,0.9228068613578226
2023-04-20,0.9228058386512881
2023-04-21,0.9228042595209832
2023-04-24,0.9228037559240869
2023-04-25,0.9228031894356481
2023-04-26,0.9228023142388107
2023-04-27,0.9228018816005138
2023-04-28,0.9228015475663695
2023-05-01,0.9228015131683409
2023-05-02,0.9228007467452818
2023-05-03,0.9228005788381695
2023-05-04,0.9227828923942399
2023-05-05,0.9227819884931409
2023-05-08,0.9227822016375998
2023-05-09,0.9227814730236993
2023-05-10,0.9227806935779317
2023-05-11,0.9227804173919261
2023-05-12,0.9227796940472175
2023-05-15,0.9227798957442849
2023-05-16,0.9227793265710941
2023-05-17,0.9227785837505991
2023-05-18,0.9227787711580516
2023-05-19,0.9227783342991245
2023-05-22,0.9227784408333088
2023-05-23,0.9227780149520775
2023-05-24,0.9227776200721646
2023-05-25,0.922778746741018
2023-05-26,0.9227787290870286
2023-05-30,0.9227784837269891
2023-05-31,0.9227780478217941
2023-06-01,0.9227780112075408
2023-06-02,0.9227775433596839
2023-06-05,0.9227774239701868
2023-06-06,0.9227762862634588
2023-06-07,0.9227755476714091
2023-06-08,0.9227740339357068
2023-06-09,0.9227731216490292
2023-06-12,0.9227719598280075
2023-06-13,0.922771468578413
2023-06-14,0.9227707153862444
2023-06-15,0.9227710716497011
2023-06-16,0.922771066873594
2023-06-20,0.9227706999960082
2023-06-21,0.9227696621798902
2023-06-22,0.9227686923687789
2023-06-23,0.9227677108858484
2023-06-26,0.9227667482571056
2023-06-27,0.9227657589155597
2023-06-28,0.9227649036695368
2023-06-29,0.9227636880736505
2023-06-30,0.9227626616058141
2023-07-03,0.9227630014634595
2023-07-05,0.9227650456186287
2023-07-06,0.922764251571463
2023-07-07,0.9227636499784462
2023-07-10,0.9227632181841595
2023-07-11,0.9227622164800542
2023-07-12,0.9227615521799476
2023-07-13,0.9227607678578854
2023-07-14,0.9227601667611307
2023-07-17,0.9227592568070658
2023-07-18,0.922758351363918
2023-07-19,0.9227575133507256
2023-07-20,0.922756877312262
2023-07-21,0.9227562403946524
2023-07-24,0.9227555421744617
2023-07-25,0.9227550136403625
2023-07-26,0.9227544306081406
2023-07-27,0.922752540696579
2023-07-28,0.9227520544516631
2023-07-31,0.9227514040706131
2023-08-01,0.922750540664072
2023-08-02,0.922750198689902
2023-08-03,0.9227497750455391
2023-08-04,0.9227486493603924
2023-08-07,0.922747978591738
2023-08-08,0.9227471915347052
2023-08-09,0.9227465352861517
2023-08-10,0.9227456045352558
2023-08-11,0.922745547949767
2023-08-14,0.9227447311571135
2023-08-15,0.9227436811538602
2023-08-16,0.9227422035095922
2023-08-17,0.922741983453933
2023-08-18,0.922741355890348
2023-08-21,0.922740909665167
2023-08-22,0.9227401786258332
2023-08-23,0.922739480074585
2023-08-24,0.9227390918061619
2023-08-25,0.9227380528846691
2023-08-28,0.922736432078355
2023-08-29,0.9227358863275619
