,w0p5_K_c,w0p5_K_p,w0p5_entry,w0p5_ask,w0p5_pay,w1_K_c,w1_K_p,w1_entry,w1_ask,w1_pay,w2_K_c,w2_K_p,w2_entry,w2_ask,w2_pay
2021-07-21,4380.0,4330.0,0.10000000149011612,0.15000000223517418,0.0,4400.0,4310.0,0.05000000074505806,0.10000000149011612,0.0,4445.0,4265.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-23,4435.0,4385.0,0.22500000335276127,0.30000000074505806,0.0,4455.0,4360.0,0.10000000149011612,0.15000000223517418,0.0,4500.0,4320.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-26,4445.0,4395.0,0.07500000111758709,0.15000000223517418,0.0,4470.0,4375.0,0.05000000074505806,0.10000000149011612,0.0,4510.0,4330.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-28,4435.0,4385.0,0.22500000335276127,0.30000000074505806,0.0,4455.0,4360.0,0.10000000149011612,0.15000000223517418,0.0,4500.0,4320.0,0.05000000074505806,0.10000000149011612,0.0
2021-07-30,4420.0,4370.0,0.17500000447034836,0.2500000074505806,0.0,4445.0,4350.0,0.10000000149011612,0.15000000223517418,0.0,4485.0,4305.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-02,4420.0,4370.0,0.10000000149011612,0.15000000223517418,0.0,4440.0,4345.0,0.05000000074505806,0.10000000149011612,0.0,4485.0,4305.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-04,4435.0,4385.0,0.10000000149011612,0.15000000223517418,0.0,4455.0,4360.0,0.05000000074505806,0.10000000149011612,0.0,4500.0,4320.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-06,4460.0,4410.0,0.10000000149011612,0.15000000223517418,0.0,4485.0,4390.0,0.05000000074505806,0.10000000149011612,0.0,4525.0,4345.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-09,4460.0,4410.0,0.10000000149011612,0.15000000223517418,0.0,4480.0,4385.0,0.05000000074505806,0.10000000149011612,0.0,4525.0,4345.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-11,4470.0,4425.0,0.07500000111758709,0.15000000223517418,0.0,4495.0,4400.0,0.05000000074505806,0.10000000149011612,0.0,4540.0,4355.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-13,4490.0,4440.0,0.07500000111758709,0.15000000223517418,0.0,4510.0,4415.0,0.05000000074505806,0.10000000149011612,0.0,4555.0,4370.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-16,4500.0,4450.0,0.10000000149011612,0.15000000223517418,0.0,4520.0,4425.0,0.05000000074505806,0.10000000149011612,0.0,4565.0,4380.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-18,4450.0,4400.0,0.2750000078231096,0.350000012665987,0.0,4470.0,4375.0,0.05000000074505806,0.10000000149011612,0.0,4515.0,4335.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-20,4465.0,4415.0,0.15000000409781933,0.20000000670552254,0.0,4490.0,4395.0,0.10000000149011612,0.15000000223517418,0.0,4535.0,4350.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-23,4510.0,4460.0,0.05000000074505806,0.10000000149011612,0.0,4535.0,4440.0,0.05000000074505806,0.10000000149011612,0.0,4580.0,4395.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-25,4520.0,4470.0,0.05000000074505806,0.10000000149011612,0.0,4545.0,4450.0,0.05000000074505806,0.10000000149011612,0.0,4590.0,4405.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-27,4535.0,4485.0,0.10000000149011612,0.15000000223517418,0.0,4560.0,4465.0,0.05000000074505806,0.10000000149011612,0.0,4605.0,4420.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-30,4560.0,4510.0,0.05000000074505806,0.10000000149011612,0.0,4580.0,4485.0,0.05000000074505806,0.10000000149011612,0.0,4625.0,4440.0,0.05000000074505806,0.10000000149011612,0.0
2021-08-31,4545.0,4495.0,0.10000000149011612,0.15000000223517418,0.0,4565.0,4470.0,0.05000000074505806,0.10000000149011612,0.0,4610.0,4425.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-01,4555.0,4505.0,0.05000000074505806,0.10000000149011612,0.0,4575.0,4480.0,0.05000000074505806,0.10000000149011612,0.0,4620.0,4435.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-03,4565.0,4515.0,0.10000000149011612,0.15000000223517418,0.0,4585.0,4490.0,0.05000000074505806,0.10000000149011612,0.0,4630.0,4445.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-07,4550.0,4500.0,0.07500000111758709,0.15000000223517418,0.0,4570.0,4475.0,0.05000000074505806,0.10000000149011612,0.0,4615.0,4430.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-08,4540.0,4485.0,0.05000000074505806,0.10000000149011612,0.0,4560.0,4465.0,0.05000000074505806,0.10000000149011612,0.0,4605.0,4420.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-10,4500.0,4450.0,0.3249999973922968,0.3999999947845936,0.0,4520.0,4425.0,0.1250000037252903,0.20000000670552254,0.0,4565.0,4380.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-13,4490.0,4440.0,0.15000000409781933,0.20000000670552254,0.0,4510.0,4415.0,0.05000000074505806,0.10000000149011612,0.0,4555.0,4370.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-15,4505.0,4455.0,0.10000000149011612,0.15000000223517418,0.0,4530.0,4435.0,0.05000000074505806,0.10000000149011612,0.0,4575.0,4390.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-17,4455.0,4405.0,0.3500000052154064,0.45000000298023224,0.0,4480.0,4385.0,0.1250000037252903,0.20000000670552254,0.0,4525.0,4340.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-20,4350.0,4300.0,0.9500000029802322,1.0,7.72998046875,4370.0,4280.0,0.22500000707805157,0.30000001192092896,0.0,4415.0,4235.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-22,4430.0,4385.0,0.9250000156462193,1.0000000298023224,0.0,4455.0,4360.0,0.15000000409781933,0.20000000670552254,0.0,4500.0,4315.0,0.05000000074505806,0.10000000149011612,0.0
2021-09-24,4480.0,4435.0,0.17500000447034836,0.2500000074505806,0.0,4505.0,4410.0,0.07500000111758709,0.15000000223517418,0.0,4550.0,4365.0,0.05000000074505806,0.10000000149011612,0.0
